Date,Hour,Program,Speakers,Program_Type,Duration
4/28/2024,1500-1600,kardalo,SPEAKER_06,ShahzebKhanzadah,410
4/28/2024,1500-1600,kardalo,SPEAKER_07,ShahzebKhanzadah,228
4/28/2024,1500-1600,kardalo,SPEAKER_08,ShahzebKhanzadah,496
4/28/2024,1600-1700,Kardalo_part2,Multiple,ShahzebKhanzadah,465
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_01,ShahzebKhanzadah,456
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_02,ShahzebKhanzadah,167
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_03,ShahzebKhanzadah,144
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_04,ShahzebKhanzadah,356
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_05,ShahzebKhanzadah,415
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_06,ShahzebKhanzadah,274
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_08,ShahzebKhanzadah,225
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_09,ShahzebKhanzadah,239
4/28/2024,1600-1700,Kardalo_part2,SPEAKER_10,ShahzebKhanzadah,287
9/24/2023,1120-1240,News  ,Multiple,News  ,379
9/24/2023,1120-1240,News  ,SPEAKER_05,News  ,4
9/24/2023,1120-1240,News  ,SPEAKER_11,News  ,12
9/24/2023,1120-1240,News  ,SPEAKER_13,News  ,7
9/24/2023,1120-1240,News  ,SPEAKER_14,News  ,332
9/24/2023,1120-1240,News  ,SPEAKER_15,News  ,367
9/24/2023,1120-1240,News  ,SPEAKER_17,News  ,129
9/24/2023,1120-1240,News  ,SPEAKER_18,News  ,48
9/24/2023,1120-1240,News  ,SPEAKER_19,News  ,459
9/24/2023,1120-1240,News  ,SPEAKER_20,News  ,44
9/24/2023,1120-1240,News  ,SPEAKER_21,News  ,71
9/24/2023,1120-1240,News  ,SPEAKER_22,News  ,18
9/24/2023,1120-1240,News  ,SPEAKER_23,News  ,13
9/24/2023,1120-1240,News  ,SPEAKER_25,News  ,9
9/24/2023,1120-1240,News  ,SPEAKER_26,News  ,2
9/24/2023,1120-1240,News HL,Multiple,News HL,156
9/24/2023,1120-1240,News HL,SPEAKER_13,News HL,22
9/24/2023,1120-1240,News HL,SPEAKER_14,News HL,152
9/24/2023,1120-1240,News HL,SPEAKER_15,News HL,150
9/24/2023,1120-1240,SehatSabKaliya,Multiple,Health,423
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_01,Health,34
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_02,Health,255
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_03,Health,1017
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_06,Health,48
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_07,Health,130
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_08,Health,1
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_09,Health,45
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_10,Health,83
9/24/2023,1120-1240,SehatSabKaliya,SPEAKER_12,Health,46
